Energy (meV),Broadened DOS
0.0,0.0007577615962400559
0.1,0.0007637167733892273
0.2,0.0007696859711134331
0.3,0.0007756690964590474
0.4,0.0007816660622417156
0.5,0.0007876767871567365
0.6,0.0007937011958878372
0.7,0.0007997392192144378
0.8,0.0008057907941174632
0.9,0.0008118558638835463
1.0,0.0008179343782076196
1.1,0.000824026293294025
1.2,0.0008301315719559633
1.3,0.0008362501837133923
1.4,0.000842382104889229
1.5,0.0008485273187040484
1.6,0.0008546858153690891
1.7,0.0008608575921776452
1.8,0.0008670426535948392
1.9,0.0008732410113457814
2.0,0.0008794526845020548
2.1,0.0008856776995666317
2.2,0.0008919160905571708
2.3,0.0008981678990876127
2.4,0.0009044331744482744
2.5,0.000910711973684292
2.6,0.0009170043616724411
2.7,0.0009233104111964355
2.8,0.0009296302030205898
2.9,0.0009359638259619826
3.0,0.0009423113769610366
3.1,0.0009486729611505684
3.2,0.0009550486919233427
3.3,0.0009614386909980721
3.4,0.0009678430884840454
3.5,0.0009742620229441703
3.6,0.000980695641456671
3.7,0.0009871440996753337
3.8,0.0009936075618883254
3.9,0.0010000862010757243
4.0,0.00100658019896561
4.1,0.0010130897460889476
4.2,0.0010196150418330745
4.3,0.0010261562944940312
4.4,0.001032713721327569
4.5,0.0010392875485990838
4.6,0.0010458780116322662
4.7,0.0010524853548567602
4.8,0.001059109831854626
4.9,0.0010657517054058563
5.0,0.0010724112475328173
5.1,0.0010790887395437905
5.2,0.0010857844720755473
5.3,0.0010924987451351245
5.4,0.0010992318681406841
5.5,0.0011059841599617023
5.6,0.0011127559489583904
5.7,0.0011195475730204473
5.8,0.0011263593796051901
5.9,0.0011331917257751808
6.0,0.0011400449782352708
6.1,0.0011469195133692609
6.2,0.0011538157172761823
6.3,0.0011607339858062038
6.4,0.0011676747245963574
6.5,0.001174638349106
6.6,0.0011816252846521612
6.7,0.001188635966444848
6.8,0.001195670839622343
6.9,0.0012027303592865527
7.0,0.0012098149905385297
7.1,0.0012169252085141831
7.2,0.0012240614984202435
7.3,0.0012312243555706297
7.4,0.0012384142854231558
7.5,0.001245631803616821
7.6,0.0012528774360096003
7.7,0.0012601517187168627
7.8,0.00126745519815056
