Energy (meV),Broadened DOS
0.0,0.00038484648276810245
0.1,0.00038818578917549566
0.2,0.00039153314221651884
0.3,0.0003948883651126578
0.4,0.0003982512816287705
0.5,0.00040162171613876305
0.6,0.0004049994936910456
0.7,0.00040838444007359597
0.8,0.0004117763818785807
0.9,0.0004151751465665901
1.0,0.0004185805625303822
1.1,0.0004219924591581803
1.2,0.00042541066689637415
1.3,0.00042883501731174066
1.4,0.0004322653431530399
1.5,0.0004357014784120135
1.6,0.00043914325838372855
1.7,0.00044259051972628174
1.8,0.00044604310051976474
1.9,0.00044950084032454907
2.0,0.00045296358023876347
2.1,0.00045643116295506766
2.2,0.0004599034328165533
2.3,0.000463380235871891
2.4,0.00046686141992954047
2.5,0.0004703468346111752
2.6,0.0004738363314041371
2.7,0.0004773297637130176
2.8,0.0004808269869102835
2.9,0.00048432785838595867
3.0,0.00048783223759628125
3.1,0.000491339986111419
3.2,0.0004948509676621244
3.3,0.0004983650481853673
3.4,0.0005018820958689015
3.5,0.0005054019811948211
3.6,0.000508924576981944
3.7,0.0005124497584271725
3.8,0.00051597740314568
3.9,0.0005195073912100324
4.0,0.0005230396051881287
4.1,0.0005265739301800207
4.2,0.000530110253853531
4.3,0.0005336484664787576
4.4,0.0005371884609613761
4.5,0.0005407301328747365
4.6,0.0005442733804907991
4.7,0.0005478181048098549
4.8,0.0005513642095890575
4.9,0.000554911601369684
5.0,0.0005584601895032864
5.1,0.0005620098861765381
5.2,0.0005655606064349059
5.3,0.000569112268205086
5.4,0.0005726647923162211
5.5,0.0005762181025198937
5.6,0.0005797721255089174
5.7,0.0005833267909349099
5.8,0.0005868820314245907
5.9,0.0005904377825949713
6.0,0.0005939939830672343
6.1,0.0005975505744795135
6.2,0.0006011075014983596
6.3,0.000604664711829133
6.4,0.0006082221562251256
6.5,0.0006117797884955516
6.6,0.0006153375655123726
6.7,0.0006188954472159213
6.8,0.0006224533966194661
6.9,0.0006260113798125245
7.0,0.0006295693659631664
7.1,0.0006331273273191202
7.2,0.0006366852392078215
7.3,0.0006402430800353915
7.4,0.0006438008312844704
7.5,0.0006473584775110958
7.6,0.0006509160063404365
7.7,0.0006544734084615883
7.8,0.0006580306776213015
