Energy (meV),Broadened DOS
0.0,0.0003661352142128623
0.1,0.00037160193116658323
0.2,0.0003770589588988762
0.3,0.00038250438265414045
0.4,0.00038793631800775524
0.5,0.00039335291352354774
0.6,0.00039875235334362654
0.7,0.00040413285970433596
0.8,0.00040949269537281165
0.9,0.000414830165998438
1.0,0.0004201436223741342
1.1,0.00042543146260236856
1.2,0.00043069213416115114
1.3,0.00043592413586579813
1.4,0.0004411260197218508
1.5,0.000446296392665739
1.6,0.00045143391818935674
1.7,0.0004565373178451637
1.8,0.00046160537262911563
1.9,0.00046663692423859525
2.0,0.0004716308762030507
2.1,0.000476586194885324
2.2,0.0004815019103522949
2.3,0.0004863771171132071
2.4,0.0004912109747250157
2.5,0.0004960027082643401
2.6,0.0005007516086654432
2.7,0.0005054570329250229
2.8,0.0005101184041739776
2.9,0.0005147352116172777
3.0,0.000519307010343358
3.1,0.0005238334210045678
3.2,0.000528314129370838
3.3,0.0005327488857589256
3.4,0.0005371375043399213
3.5,0.000541479862328107
3.6,0.000545775899054415
3.7,0.0005500256149281439
3.8,0.0005542290702909238
3.9,0.0005583863841669417
4.0,0.0005624977329137758
4.1,0.000566563348778669
4.2,0.0005705835183648198
4.3,0.0005745585810128668
4.4,0.0005784889271025477
4.5,0.0005823749962800978
4.6,0.0005862172756166442
4.7,0.0005900162977032469
4.8,0.0005937726386883147
4.9,0.0005974869162631216
5.0,0.0006011597876012964
5.1,0.0006047919472579951
5.2,0.0006083841250349778
5.3,0.0006119370838172539
5.4,0.0006154516173874245
5.5,0.0006189285482233338
5.6,0.0006223687252852483
5.7,0.0006257730217981891
5.8,0.0006291423330350868
5.9,0.0006324775741064501
6.0,0.0006357796777622101
6.1,0.0006390495922108823
6.2,0.0006422882789615739
6.3,0.0006454967106936459
6.4,0.0006486758691592019
6.5,0.000651826743123001
6.6,0.000654950326344305
6.7,0.0006580476156051963
6.8,0.000661119608789142
6.9,0.0006641673030139819
7.0,0.0006671916928227401
7.1,0.00067019376843579
7.2,0.0006731745140675151
7.3,0.0006761349063102088
7.4,0.000679075912587981
7.5,0.0006819984896829554
7.6,0.0006849035823358329
7.7,0.0006877921219227423
7.8,0.0006906650252097821
7.9,0.0006935231931867006
8.0,0.0006963675099807066
8.1,0.0006991988418511354
8.2,0.0007020180362655265
8.3,0.0007048259210574409
8.4,0.0007076233036659078
8.5,0.0007104109704564476
8.6,0.0007131896861231144
8.7,0.0007159601931708433
8.8,0.0007187232114773433
8.9,0.0007214794379333132
9.0,0.0007242295461597485
9.1,0.0007269741863007437
9.2,0.0007297139848901811
9.3,0.0007324495447903799
9.4,0.0007351814452007908
9.5,0.0007379102417344115
9.6,0.0007406364665596495
9.7,0.0007433606286052653
9.8,0.0007460832138256795
9.9,0.0007488046855240143
10.0,0.0007515254847302067
10.1,0.0007542460306311058
10.2,0.0007569667210497244
10.3,0.0007596879329707026
10.4,0.0007624100231087981
10.5,0.0007651333285173883
10.6,0.0007678581672338476
10.7,0.0007705848389585365
10.8,0.0007733136257644916
10.9,0.0007760447928343561
11.0,0.0007787785892217618
11.1,0.0007815152486336542
11.2,0.0007842549902308143
11.3,0.0007869980194433737
11.4,0.0007897445287982331
11.5,0.0007924946987557049
11.6,0.0007952486985522435
11.7,0.0007980066870465969
11.8,0.0008007688135666446
11.9,0.0008035352187541274
12.0,0.0008063060354049239
12.1,0.0008090813893022936
12.2,0.0008118614000406438
12.3,0.0008146461818377122
12.4,0.0008174358443328166
12.5,0.0008202304933693286
12.6,0.0008230302317590941
12.7,0.000825835160027401
12.8,0.0008286453771362136
12.9,0.000831460981184606
13.0,0.0008342820700844307
13.1,0.0008371087422101204
13.2,0.0008399410970212285
13.3,0.0008427792356564036
13.4,0.0008456232614980751
13.5,0.0008484732807064664
13.6,0.0008513294027224162
13.7,0.0008541917407381588
13.8,0.0008570604121353337
13.9,0.0008599355388898262
